Angelo Mathews (2009- till now),,,,
,,,,
opponent,ground,home or away,HS,50
England,Darren Sammy National Cricket Stadium ,away,58,TRUE
australia,ANZ stadium,away,                    35*,FALSE
afghanistan,Eden Gardens,away,21,FALSE
australia,Kensington Oval ,away,8,FALSE
australia,Pallekele International Cricket Stadium ,home,5,FALSE
bangladesh,Pallekele International Cricket Stadium ,home,                    30*,FALSE
bangladesh,Zahur Ahmed Chowdhury Stadium ,away,11,FALSE
bangladesh,Zahur Ahmed Chowdhury Stadium,away,2,FALSE
bangladesh,Shere Bangla National Stadium,away,12,FALSE
England,Pallekele International Cricket Stadium,home,28,FALSE
England,Zahur Ahmed Chowdhury Stadium,away,                    11*,FALSE
England,Kennington Oval ,away,13,FALSE
England,Arun Jaitley Stadium,away,                   73*,TRUE
England,The Rose Bowl,away,11,FALSE
india,Vidarbha Cricket Association Stadium,away,                   15*,FALSE
india,Punjab Cricket Association IS Bindra Stadium,away,                    26*,FALSE
india,Darren Sammy National Cricket Stadium,away,46,FALSE
india,Pallekele International Cricket Stadium,home,31,FALSE
india,Shere Bangla National Stadium,away,19,FALSE
india,R Premadasa Stadium,home,7,FALSE
india,Maharashtra Cricket Association Stadium,away,31,FALSE
New zealand,Trent Bridge,away,                     6*,FALSE
New zealand,R Premadasa Stadium,home,21,FALSE
New zealand,R Premadasa Stadium,home,1,FALSE
New zealand,Providence Stadium,away,3,FALSE
New zealand,Central Broward Regional Park,away,27,FALSE
New zealand,Pallekele International Cricket Stadium,home,                    12*,FALSE
New zealand,Zahur Ahmed Chowdhury Stadium,away,6,FALSE
New zealand,Bay Oval,away,4,FALSE
New zealand,Eden Park,away,                   81*,TRUE
pakistan,lords,away,                     9*,FALSE
pakistan,lords,away,                    35*,FALSE
pakistan,R Premadasa Stadium,home,9,FALSE
pakistan,Sheikh Zayed Stadium,away,14,FALSE
pakistan,Mahinda Rajapaksha International Cricket Stadium,home,9,FALSE
pakistan,Mahinda Rajapaksha International Cricket Stadium,home,11,FALSE
pakistan,R Premadasa Stadium,home,                    10*,FALSE
pakistan,Dubai International Cricket Stadium,away,50,TRUE
pakistan,R Premadasa Stadium,home,23,FALSE
south africa,R Premadasa Stadium ,home,4,FALSE
south africa,Mahinda Rajapaksha International Cricket Stadium,home,1,FALSE
south africa,Mahinda Rajapaksha International Cricket Stadium,home,14,FALSE
south africa,Zahur Ahmed Chowdhury Stadium,away,43,FALSE
south africa,SuperSport Park,away,6,FALSE
south africa,Wanderers Stadium,away,54,TRUE
west indies,Trent Bridge,away,3,FALSE
west indies,Kennington Oval,away,12,FALSE
west indies,R Premadasa Stadium,home,1,FALSE
west indies,Shere Bangla National Stadium,away,40,FALSE
west indies,Pallekele International Cricket Stadium,home,37,FALSE
west indies,R Premadasa Stadium,home,5,FALSE
west indies,M Chinnaswamy Stadium,away,20,FALSE
